32	20
74	86	69	86	40	31	43	27	50	58	75	17	26	34	88	97	27	64	22	18
63	49	74	10	9	65	30	87	31	7	71	49	65	52	8	17	57	28	66	40
78	2	28	78	46	39	60	80	3	4	18	24	54	30	48	71	36	59	67	75
56	42	57	52	53	56	39	80	68	91	58	11	12	59	59	83	80	50	93	59
56	0	88	80	75	53	39	33	55	48	40	37	29	62	43	8	26	100	55	36
47	37	22	8	29	63	46	41	18	29	44	49	42	100	2	74	43	2	67	64
10	70	62	33	24	47	77	94	2	48	59	62	75	42	30	13	21	59	100	76
49	47	50	60	60	65	6	2	38	35	66	70	90	25	82	26	4	69	8	35
75	12	0	2	45	40	29	89	80	48	75	19	98	82	82	39	75	28	17	13
25	48	59	30	87	39	44	43	100	71	74	90	60	21	56	63	60	29	14	64
17	10	5	53	85	10	52	99	37	5	31	5	98	0	17	50	27	16	64	32
1	100	7	72	2	95	62	95	52	15	36	71	51	36	100	77	24	99	82	74
11	84	94	93	45	62	96	44	21	94	72	68	57	30	94	88	31	92	33	17
2	95	62	76	27	21	12	31	14	29	86	68	76	72	5	40	91	30	92	56
29	82	23	54	76	29	34	71	84	84	1	7	15	20	91	26	89	78	61	81
95	33	57	3	84	39	91	29	43	93	38	54	22	65	74	66	45	42	44	88
39	62	74	54	48	38	2	43	3	78	94	20	31	77	8	66	19	94	97	37
98	69	16	39	39	11	92	82	95	56	39	25	47	31	100	81	86	38	57	87
2	41	27	49	0	88	5	53	70	70	3	35	84	78	76	56	32	84	44	88
23	41	11	55	15	59	13	92	61	81	80	77	53	67	41	82	22	67	94	77
93	94	8	89	58	70	49	21	55	75	23	54	11	99	90	83	99	5	56	10
30	22	53	17	45	4	69	36	84	57	8	87	33	55	11	54	37	69	60	68
67	95	21	85	99	37	73	74	31	22	92	95	65	61	92	25	83	25	23	12
44	93	17	83	85	58	38	61	55	71	87	57	92	3	39	70	71	82	7	37
69	42	47	19	83	85	48	73	89	70	29	53	12	39	59	71	5	65	13	3
42	4	6	44	88	85	52	19	25	53	90	54	24	41	92	56	44	11	88	18
14	9	78	36	70	60	6	14	88	69	44	40	19	6	35	54	98	63	55	57
17	59	61	12	28	95	73	100	23	33	33	41	81	30	50	69	48	40	74	52
21	87	42	83	75	73	27	68	32	1	78	100	30	98	67	24	0	59	27	74
75	32	89	87	56	44	6	33	16	70	55	25	93	32	63	77	5	75	98	86
65	43	28	71	47	97	46	45	62	77	32	71	25	79	5	55	79	84	15	30
8	6	58	45	81	71	0	95	41	39	8	66	82	19	57	8	87	75	55	85
